,country,date,confirmed,fatalities,population_density,median_age,aged_65_older,aged_70_older,population,yearly_change,net_change,density,land_area,migrants,rert_rate,med_age,urban_pop,world_share,r_population
0,Spain,2020-02-01,1.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
1,Spain,2020-02-02,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
2,Spain,2020-02-03,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
3,Spain,2020-02-04,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
4,Spain,2020-02-05,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
5,Spain,2020-02-06,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
6,Spain,2020-02-07,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
7,Spain,2020-02-08,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
8,Spain,2020-02-09,1.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
9,Spain,2020-02-10,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
10,Spain,2020-02-11,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
11,Spain,2020-02-12,0.0,0.0,93.105,45.5,19.436,13.799,0.032506563496018444,0.010416666666666668,0.001324978944375541,0.0035691232866309755,0.030457590491956035,0.04189332702140539,0.18571428571428572,0.9375,0.8,0.03248511099079589,46751175.0
